route_id,trip_id,trip_short_name,service_id
1,1000,all,1000
1,1001,all,1001
1,1002,all,1002
1,1003,all,1003
1,1004,all,1004
1,1005,all,1005
1,1006,all,1006
1,1007,all,1007
1,1008,all,1008
1,1009,all,1009
1,1010,all,1010
1,1011,all,1011
1,1012,all,1012
1,1013,all,1013
1,1014,all,1014
1,1015,all,1015
1,1016,all,1016
1,1017,all,1017
1,1018,all,1018
1,1019,all,1019
1,1020,all,1020
1,1021,all,1021
1,1022,all,1022
1,1023,all,1023
1,1024,all,1024
1,1025,all,1025
1,1026,all,1026
1,1027,all,1027
1,1028,all,1028
1,1029,all,1029
1,1030,all,1030
1,1031,all,1031
1,1032,all,1032
1,1033,all,1033
1,1034,all,1034
1,1035,all,1035
1,1036,all,1036
1,1037,all,1037
1,1038,all,1038
1,1039,all,1039
1,1040,all,1040
1,1041,all,1041
1,1042,all,1042
1,1043,all,1043
1,1044,all,1044
1,1045,all,1045
1,1046,all,1046
1,1047,all,1047
1,1048,all,1048
1,1049,all,1049
1,1050,all,1050
1,1051,all,1051
1,1052,all,1052
1,1053,all,1053
1,1054,all,1054
1,1055,all,1055
1,1056,all,1056
1,1057,all,1057
1,1058,all,1058
1,1059,all,1059
1,1060,all,1060
1,1061,all,1061
1,1062,all,1062
1,1063,all,1063
1,1064,all,1064
1,1065,all,1065
1,1066,all,1066
1,1067,all,1067
1,1068,all,1068
1,1069,all,1069
1,1070,all,1070
1,1071,all,1071
1,1072,all,1072
1,1073,all,1073
1,1074,all,1074
1,1075,all,1075
1,1076,all,1076
1,1077,all,1077
1,1078,all,1078
1,1079,all,1079
1,1080,all,1080
1,1081,all,1081
1,1082,all,1082
1,1083,all,1083
1,1084,all,1084
1,1085,all,1085
1,1086,all,1086
1,1087,all,1087
1,1088,all,1088
1,1089,all,1089
1,1090,all,1090
1,1091,all,1091
1,1092,all,1092
1,1093,all,1093
1,1094,all,1094
1,1095,all,1095
1,1096,all,1096
1,1097,all,1097
1,1098,all,1098
1,1099,all,1099
1,1100,all,1100
1,1101,all,1101
1,1102,all,1102
1,1103,all,1103
1,1104,all,1104
1,1105,all,1105
1,1106,all,1106
1,1107,all,1107
1,1108,all,1108
1,1109,all,1109
1,1110,all,1110
1,1111,all,1111
1,1112,all,1112
1,1113,all,1113
1,1114,all,1114
1,1115,all,1115
1,1116,all,1116
1,1117,all,1117
1,1118,all,1118
1,1119,all,1119
1,1120,all,1120
1,1121,all,1121
1,1122,all,1122
1,1123,all,1123
1,1124,all,1124
1,1125,all,1125
1,1126,all,1126
1,1127,all,1127
1,1128,all,1128
1,1129,all,1129
1,1130,all,1130
1,1131,all,1131
1,1132,all,1132
1,1133,all,1133
1,1134,all,1134
1,1135,all,1135
1,1136,all,1136
1,1137,all,1137
1,1138,all,1138
1,1139,all,1139
1,1140,all,1140
1,1141,all,1141
1,1142,all,1142
1,1143,all,1143
1,1144,all,1144
1,1145,all,1145
1,1146,all,1146
1,1147,all,1147
1,1148,all,1148
1,1149,all,1149
1,1150,all,1150
1,1151,all,1151
2,1152,all,1152
2,1153,all,1153
2,1154,all,1154
2,1155,all,1155
2,1156,all,1156
2,1157,all,1157
